"telegram_chat_id","username"
"302","FreeeVIPSignal"
"303","B_X_Chat"
"307",NULL
"309","wallstreetqueenofficialtm"
"310","dr_crypto_whales"
"311","paul_goldhunter"
"312","CryptoMoonShots_Chat"
"313","Big_Pump_Signals_Gem"
"314",NULL
"315","MM7777555"
"316","MCY_TRADINGS"
"317","cryptomoonshotss"
"318","AIwayswintrades"
"319","Wallstreet_Queen_Official_Vip"
"320","Cryptotegic1"
"321","FatpigSignals001"
"322","CryptoExtreme1"
"323","JacobCryptoBury_free"
"324","UniversalCrypto_Live"
"325","wallstreetqueenofficials"
"326",NULL
"327","Pump_Kingdom_Fx"
"328",NULL
"329","blockpartytrading"
"330","Best_Crypto_Channel11"
"331","mad_apes_gambles"
"332","Pumps_Signals_Trading_Whales"
"333","Pumps_Kucoin_Signals_Crypto"
"334","AmdelTrades"
"335","Bitcoin_Pump_Signal_usdt"
"338","Big_PumpSignal"
"339","BTC68854"
"340","Jsj93889"
"341","monkey_crypto_pump"
"342","one_mega_pump"
"343","Pumps_Binance_Kucoin"
"344","Crypto_Binance_Kucoin"
"345","BinanceCryptoPumpSignals"
"346","Kucoin_Pumps_Binance_Signals"
"354","crypto_trading_btcnews"
"355","Crypto_Pumps_Premium"
"356","Crypto_Pumps_Premium_Signals"
"357","Crypto_Pump_Signals_Spot"
"358","CryptoPumpAnalytics"
"359","Coinbureau_signalsoffical"
"360","cryptosignals99"
"361","Bitcoin_Pumps_Crypto"
"362","Crypto_Pump_Bitcoin"
"363","Crypto_Binance_Signals_Pumps"
"364","cryptopapasignalstrade"
"365","bestcryptopump_6"
"366","bestcryptopump_3"
"367","mad_apes_gambIe"
"372","ChinaPumpNoww"
"378","bullscryptosignall"
"379","tradecoinundergroundsignal"
"380","ABO2JASE1M"
"381",NULL
"382",NULL
"383","cryptosniper_chat"
"384","freecryptosignalscgf"
"385","Cryptoprofitrtrades"
"386","kucoinpumpsys"
"387","CryptoGemsKing"
"388","MCP_binance01"
"389","rocketwalletsignals_official"
"390","JacobCryptoBuryOfficial"
"392","three_mega_pump"
"393",NULL
"394","WallstreetQueenOfficialViP"
"395","JacobCryptoBuryFreesignals"
"396","EVgozx"
"397","Binance_Hotbit_Kucoin_Pumps"
"398","wolfxsignales"
"402","Kucoin_Binance_Pumps_Official"
"403","Binance_Kucoin_Pumps_and_Signals"
"404","whaletankchat"
"407","Kucoin_Pumps"
"408","F_crypto_pumps_l"
"411","blockchainwhispersbaby"
"412","blockchainwhispers_B"
"413","tashatoken"
"414",NULL
"415",NULL
"416","ianCryptoTrades"
"417","KucoinPumpY"
"418","Dogecoin_Elon_Musk"
"419","Kucoin_Trading_Pumps"
"420","Crypto_VIP_Signal_TA"
"421","crypto_elonmusk"
"422","kucoinsignalsforpumps"
"423","KucoinCryptoTradingPumpss"
"424","musk_signal"
"426","bestcryptopump_4"
"427","bestcryptopump_2022"
"428","bestcryptopump_7"
"429","uniswapbombscalls"
"432","Crypto_Pumps_Whales_Signals"
"433","Crypto_Pumps_Signals_Official"
"434","Crypto_Pumps_Signals_Big"
"435","Crypto_Pumps_Signals_Global"
"437","cryptopumpshet2"
"438","cryptopumpshet7"
"439","Mexcpumpsignals1"
"442","lion_mexcpump1"
"443","KLSEBULLSIGNALSINTRADAY"
"449","EtherSignals"
"455",NULL
"457",NULL
"459","shawmiing_2024"
"463","Investmendjs"
"464",NULL
"471",NULL
"473","ewpnrwq1230"
"479","GulfBypass"
"481",NULL
"482","pumps20"
"484","FBI_CHEAT"
"486",NULL
"487",NULL
"500","noofey_fix_chat"
"505",NULL
"510","Biggestcryptopumpchannel"
"513","pumps222"
"517","crypto_pump_wenlambo"
"546","hackernewslive"
"550","lobsters_hr"
"555","rektplebs"
"561","defiprime"
"562","NFTek"
"568","the_block_crypto"
"581","unfolded"
"587","Defiscamcheck"
"595","RNetsec"
"622",NULL
"626","crypto1_pump"
"634","Wallstreetbets_trading"
"649",NULL
"651","Binance_Pumps_Signals_Crypto"
"666","UpAndDump"
"676","Crypto_Vip_Rose_Signals_Pumps"
"688","rexdrainer"
"691","Gokucalls7"
"692","Kucoin_Signals_Bybit_Pumps"
"709","multidrainer"
"710","Crypto_Pumps_Signals_Binance"
"713","wsbethofficial"
"719","defillama_tg"
"728","lobsters_chat"
"732","CryptoEliteNews"
"735","NFT_avenue"
"750","cerberuscdrainer"
"751","solidity_learning"
"754","BestForexSignals_FREEchannel"
"759","swing_PUMP"
"765","cryptoMarketplaceOpen"
"806","CRYPTO_SCAM_DETECTED"
"821","BizFeed"
"822","de_fi"
"824","officer_cia"
"826","decentraliseddotco"
"882","CryptoLeaks4"
"888","hotbitpumpgroupx"
"898","KuCoinPumpTracker50"
"901","kucoin_crypto_pumps_trading"
"903","DrainersFTW"
"910","KucoinPumpsGroup"
"915","irann_crypto"
"920","kucoinpumpssignalss"
"922","CryptoLeaksb"
"931","btcprivatekey1"
"932","google_trafficc"
"934",NULL
"941","cbinsider"
"942","babydogecoin"
"944","thebull_crypto"
"945","EnigmaMalware"
"946","signals_binance_crypto"
"948","trustcracking"
"956","privatekeys4sale"
"957","Crypto_Signals_Leaks"
"964","trust_wallet_hack_phrase"
"966","cryptoblackmarket0"
"979","infernodrainercommunity"
"999","Wallstreetcryptotrader"
"1003","TechCryptoAnalyst"
"1004","Pump_SignalsCrypto"
"1038","bitcoin"
"1040","intocryptoverse"
"1042","marginwhales"
"1043","Altcoin_and_bitcoin_trading"
"1045","KuCoinTradingBotGroup"
"1046","MMCryptoENG"
"1047","Cointelegraph_Es"
"1048","CoinMarketCap"
"1049","KuCoin_Futures_TG"
"1050","OfficiaLCryptoindia"
"1053","gorilla_crypto"
"1054","BeInCryptoCommunity"
"1055","BinanceTurkish"
"1059","TokocryptoOfficial"
"1061","BinanceArabic"
"1062","crypto_news"
"1063","CryptoFamilyGroup"
"1064","RosePremiumm"
"1065","cryptobullet"
"1068","BinanceLiquidations"
"1069","bitcoinleverage"
"1070","binancefuturesignal"
"1071","cmcal_bot"
"1072","whalescryptovip"
"1073","poocointokenchat"
"1075","EasyForexPips"
"1076","professoroff"
"1077","SmartViewAI"
"1088","CryptoEmpire_Signal"
"1091","TradeCryptoNow"
"1094","mycryptopedia"
"1095","cointrendz"
"1099","kriptokondrashov"
"1112","altsignals"
"1114","BitcoinBullets"
"1115","FreeSignalsFXNL"
"1116","Black_Whale_4_Trading_BTC"
"1123","learn2tradectypto"
"1124","Metaverse_Defi_Nfts_Trading"
"1131","Kucoin_pumps_crypto"
"1134","AlphaTradeZone"
"1137","ronaldosilvabitcoinrs"
"1143","Forex_Tradings"
"1144","Wallstreetwhalespush"
"1145","Elite_crypto_signal"
"1155","Crypto_Futures_Trading"
"1158","crypto_sunrise"
"1171","BinanceWaves"
"1174","Crypto_Tigers1"
"1175","pumpskucoin"
"1178","Altcenter"
"1179","cryptoquant_official"
"1181","hotbit_english_pump"
"1189","cointelegraph"
"1190","PancakeSwapAnn"
"1191","JackDorseyCoins"
"1192","cryptoquant_alert"
"1195","KucoinCryptoPumps"
"1204","signal"
"1209","CryptoHeadlinesOfficial"
"1211","crypton_off"
"1212","Binance_Pumps_Futures_Signals7"
"1213","VerifiedCryptoNews"
"1214","CryptoKlondike"
"1225","binance_ru"
"1231",NULL
"1234","airdrop420_tg"
"1249","BLWOnlineTrading"
"1250","binancepumpchannell"
"1251","technical_crypto_analyst"
"1254","crypto_analysis_news"
"1255","cointrendz_pumpdetector"
"1256","DEXTNewPairsBotBSC"
"1273","bitcoin_masters"
"1276","cointradeingplatform"
"1294","binanceactivetrade"
"1300","BinanceKillers_Free"
"1302","CryptoTree07"
"1303","TheHulkCryptoChannel"
"1309","Cryptoz_Trader"
"1322","Signalswins"
"1323","CryptoM00Nshots"
"1324","bitcointurkiye"
"1325","CryptoBusyChat"
"1326","bitcoinistnews"
"1328","Rose_Margin"
"1329","ProAnalysisTrader"
"1330","alwayswintrades"
"1334","coincodecap"
"1335","chiliztradetr"
"1336","DeCenterOrg"
"1349","CryptoComOfficialAnnouncements"
"1356","signalforall"
"1369","Crypto_Sliv_Alliance"
"1370","altzsignalz"
"1371",NULL
"1377","FishTheWhales"
"1381","plancton_crypto"
"1387","CryptoCove"
"1394","BinanceTradingSignalsPro"
"1395","kucoinitalianofficial"
"1401","Crypto_SignalTA"
"1402","Bitcoinbulls2019"
"1405","tradingcryptocoach"
"1412","Altcoinlambo"
"1414","lingridchannel"
"1415","coinsbit_announcements"
"1425","coinkolik"
"1426","SignalsFromCryptoJournal"
"1427","top_crypto2021"
"1433","cryptoleakss"
"1445","Crypto_Swings"
"1448","BinanceResearch"
"1451","signalpalace"
"1458","cryptosignalalert"
"1462","TheViaBTC"
"1463","evgencoin"
"1464","shit_coinss"
"1474","AltcoinAlertsChat"
"1475","cryptopumpisland1"
"1478","DubaiPumpgroups"
"1480","PumpPortaI"
"1481","jarvis_labs"
"1482","caizcoin_official"
"1483","CryptoHeroTA"
"1492","thebullsignals"
"1495","cryptofreesignal"
"1496","Binance_Pump_Signals_BTC"
"1505","cryptotipstrick"
"1508","Thebull_Exclusive"
"1514","ProCloudTrading"
"1519","RosePremiumSignalsVip"
"1524","crypto_scalp_signals"
"1525","mycforexsignals"
"1535","Crypto_Chr1s"
"1544","crypto_pump_isIand_group"
"1545","BinanceTopCoin"
"1547","Crypto_Crunch_app"
"1548","binancetradings"
"1559","Wall_Bets_Street"
"1573","BinancePumpSignalstrading"
"1575","CryptoGainzTM"
"1577","TheWolf_ofWallstreet"
"1584","newbietradingchannel"
